START DEBUG
dashboard -> resumen_ejecutivo | btn text: Resumen Ejecutivo | is_active: True
dashboard -> kpis_analitica | btn text: Analítica & KPIs | is_active: False
dashboard -> prevision_cashflow | btn text: Previsión Tesorería | is_active: False
ingresos_gastos -> nueva_factura_b2b | btn text: Nueva Factura / FacturaE | is_active: False
ingresos_gastos -> facturas_emitidas | btn text: Facturas Emitidas | is_active: False
ingresos_gastos -> ocr_extraccion | btn text: Captura & OCR IA | is_active: False
ingresos_gastos -> libro_gastos | btn text: Libro de Gastos | is_active: False
ingresos_gastos -> registro_manual | btn text: Registro Manual | is_active: False
bancos -> conciliacion_bancaria | btn text: Conciliación Bancaria | is_active: False
bancos -> conexiones_psd2 | btn text: Cuentas Conectadas | is_active: False
bancos -> transferencias_pagos | btn text: Realizar Pagos | is_active: False
catalogos -> lista_contactos | btn text: Directorio | is_active: False
catalogos -> nuevo_contacto | btn text: Nuevo Contacto | is_active: False
catalogos -> lista_productos | btn text: Lista de Productos | is_active: False
catalogos -> nuevo_producto | btn text: Crear Producto/Servicio | is_active: False
catalogos -> gestion_servicios | btn text: Gestión de Servicios | is_active: False
fiscal_contable -> modelos_trimestrales | btn text: Modelos 303 y 130 | is_active: False
fiscal_contable -> automatizacion_aeat | btn text: Sede Electrónica AEAT | is_active: False
fiscal_contable -> calendario_fiscal | btn text: Calendario Fiscal | is_active: False
fiscal_contable -> balance_situacion | btn text: Balance de Situación | is_active: False
fiscal_contable -> gestion_activos | btn text: Gestión de Activos | is_active: False
fiscal_contable -> libros_oficiales_aeat | btn text: Libros Registro Oficiales | is_active: False
laboral -> empleados_contratos | btn text: Empleados & Contratos | is_active: False
laboral -> generador_nominas | btn text: Generador de Nóminas | is_active: False
laboral -> afiliacion_tgss | btn text: Seguridad Social TGSS | is_active: False
espacio_trabajo -> correo_inteligente | btn text: Alfonso Mail | is_active: False
espacio_trabajo -> agenda_citas | btn text: Agenda & Citas | is_active: False
espacio_trabajo -> archivo_fiscal | btn text: Archivo Digital | is_active: False
espacio_trabajo -> visor_documental | btn text: Visor Documental IA | is_active: False
espacio_trabajo -> proyectos_sesiones | btn text: Libro de Actas (Registro) | is_active: False
configuracion -> perfil_fiscal | btn text: Perfil del Autónomo | is_active: False
configuracion -> suscripcion_licencia | btn text: Suscripción & Licencia | is_active: False
configuracion -> panel_asesor | btn text: Panel Gestoría / Advisor | is_active: False
configuracion -> verifactu_sif | btn text: Veri*Factu & Huella Hash | is_active: False
configuracion -> auditoria_inmutabilidad | btn text: Auditoría de Inmutabilidad | is_active: False
configuracion -> declaracion_sif | btn text: Declaración SIF | is_active: False
configuracion -> diseno_maquetacion | btn text: Diseño y Maquetación | is_active: False
configuracion -> copias_seguridad | btn text: Copias de Seguridad | is_active: False
configuracion -> centro_ayuda | btn text: Centro de Ayuda & Manual | is_active: False
configuracion -> novedades_boe | btn text: Monitor BOE & Leyes | is_active: False
